id,name,region
ABW,Aruba,Amérique latine et Caraïbes
AFE,,Agrégats
AFG,Afghanistan,Asie du Sud
AFR,,Agrégats
AFW,,Agrégats
AGO,Angola,Afrique subsaharienne
ALB,Albanie,Europe et Asie centrale
AND,Andorre,Europe et Asie centrale
ARB,Le monde arabe,Agrégats
ARE,Émirats arabes unis,Afrique du Nord et Moyen-Orient
ARG,Argentine,Amérique latine et Caraïbes
ARM,Arménie,Europe et Asie centrale
ASM,Samoa américaines,Asie de l’Est et Pacifique
ATG,Antigua-et-Barbuda,Amérique latine et Caraïbes
AUS,Australie,Asie de l’Est et Pacifique
AUT,Autriche,Europe et Asie centrale
AZE,Azerbaïdjan,Europe et Asie centrale
BDI,Burundi,Afrique subsaharienne
BEA,,Agrégats
BEC,,Agrégats
BEL,Belgique,Europe et Asie centrale
BEN,Bénin,Afrique subsaharienne
BFA,Burkina Faso,Afrique subsaharienne
BGD,Bangladesh,Asie du Sud
BGR,Bulgarie,Europe et Asie centrale
BHI,,Agrégats
BHR,Bahreïn,Afrique du Nord et Moyen-Orient
BHS,Bahamas,Amérique latine et Caraïbes
BIH,Bosnie-Herzégovine,Europe et Asie centrale
BLA,,Agrégats
BLR,Bélarus,Europe et Asie centrale
BLZ,Belize,Amérique latine et Caraïbes
BMN,,Agrégats
BMU,Bermudes,Amérique du Nord
BOL,Bolivie,Amérique latine et Caraïbes
BRA,Brésil,Amérique latine et Caraïbes
BRB,Barbade,Amérique latine et Caraïbes
BRN,Brunéi Darussalam,Asie de l’Est et Pacifique
BSS,,Agrégats
BTN,Bhoutan,Asie du Sud
BWA,Botswana,Afrique subsaharienne
CAA,,Agrégats
CAF,République centrafricaine,Afrique subsaharienne
CAN,Canada,Amérique du Nord
CEA,,Agrégats
CEB,"Europe centrale et les pays baltes
",Agrégats
CEU,,Agrégats
CHE,Suisse,Europe et Asie centrale
CHI,Îles Anglo-Normandes,Europe et Asie centrale
CHL,Chili,Amérique latine et Caraïbes
CHN,Chine,Asie de l’Est et Pacifique
CIV,Côte d'Ivoire,Afrique subsaharienne
CLA,,Agrégats
CME,,Agrégats
CMR,Cameroun,Afrique subsaharienne
COD,"Congo, République démocratique du",Afrique subsaharienne
COG,"Congo, République du",Afrique subsaharienne
COL,Colombie,Amérique latine et Caraïbes
COM,Comores,Afrique subsaharienne
CPV,Cabo Verde ,Afrique subsaharienne
CRI,Costa Rica,Amérique latine et Caraïbes
CSA,,Agrégats
CSS,Petits états des Caraïbes,Agrégats
CUB,Cuba,Amérique latine et Caraïbes
CUW,Curacao,Amérique latine et Caraïbes
CYM,Îles Caïmans,Amérique latine et Caraïbes
CYP,Chypre,Europe et Asie centrale
CZE,République tchèque,Europe et Asie centrale
DEA,,Agrégats
DEC,,Agrégats
DEU,Allemagne,Europe et Asie centrale
DJI,Djibouti,Afrique du Nord et Moyen-Orient
DLA,,Agrégats
DMA,Dominique,Amérique latine et Caraïbes
DMN,,Agrégats
DNK,Danemark,Europe et Asie centrale
DNS,,Agrégats
DOM,République dominicaine,Amérique latine et Caraïbes
DSA,,Agrégats
DSF,,Agrégats
DSS,,Agrégats
DZA,Algérie,Afrique du Nord et Moyen-Orient
EAP,Asie de l’Est et Pacifique (hors revenu élevé),Agrégats
EAR,de dividende précoce démographique,Agrégats
EAS,Asie de l’Est et Pacifique,Agrégats
ECA,Europe et Asie centrale (hors revenu élevé),Agrégats
ECS,Europe et Asie centrale,Agrégats
ECU,Équateur,Amérique latine et Caraïbes
EGY,"Égypte, République arabe d’",Afrique du Nord et Moyen-Orient
EMU,Zone euro,Agrégats
ERI,Érythrée,Afrique subsaharienne
ESP,Espagne,Europe et Asie centrale
EST,Estonie,Europe et Asie centrale
ETH,Éthiopie,Afrique subsaharienne
EUU,Union européenne,Agrégats
FCS,"Fragile et les situations de conflit touchées
",Agrégats
FIN,Finlande,Europe et Asie centrale
FJI,Fidji,Asie de l’Est et Pacifique
FRA,France,Europe et Asie centrale
FRO,Îles Féroé,Europe et Asie centrale
FSM,"Micronésie, États fédérés de",Asie de l’Est et Pacifique
FXS,,Agrégats
GAB,Gabon,Afrique subsaharienne
GBR,Royaume-Uni,Europe et Asie centrale
GEO,Géorgie,Europe et Asie centrale
GHA,Ghana,Afrique subsaharienne
GIB,Gibraltar,Europe et Asie centrale
GIN,Guinée,Afrique subsaharienne
GMB,Gambie,Afrique subsaharienne
GNB,Guinée-Bissau,Afrique subsaharienne
GNQ,Guinée équatoriale,Afrique subsaharienne
GRC,Grèce,Europe et Asie centrale
GRD,Grenade,Amérique latine et Caraïbes
GRL,Groenland,Europe et Asie centrale
GTM,Guatemala,Amérique latine et Caraïbes
GUM,Guam,Asie de l’Est et Pacifique
GUY,Guyana,Amérique latine et Caraïbes
HIC,Revenu élevé,Agrégats
HKG,"Chine, RAS de Hong Kong",Asie de l’Est et Pacifique
HND,Honduras,Amérique latine et Caraïbes
HPC,Pays pauvres très endettés (PPTE),Agrégats
HRV,Croatie,Europe et Asie centrale
HTI,Haïti,Amérique latine et Caraïbes
HUN,Hongrie,Europe et Asie centrale
IBB,,Agrégats
IBD,BIRD seulement,Agrégats
IBT,BIRD et IDA,Agrégats
IDA,IDA totale,Agrégats
IDB,IDA mélange,Agrégats
IDN,Indonésie,Asie de l’Est et Pacifique
IDX,IDA seulement,Agrégats
IMN,Île de Man,Europe et Asie centrale
IND,Inde,Asie du Sud
INX,Non classifié,Agrégats
IRL,Irlande,Europe et Asie centrale
IRN,"Iran, République islamique d’",Afrique du Nord et Moyen-Orient
IRQ,Iraq,Afrique du Nord et Moyen-Orient
ISL,Islande,Europe et Asie centrale
ISR,Israël,Afrique du Nord et Moyen-Orient
ITA,Italie,Europe et Asie centrale
JAM,Jamaïque,Amérique latine et Caraïbes
