,id,name,region
0,ABW,Aruba,Amérique latine et Caraïbes
1,AFE,,Agrégats
2,AFG,Afghanistan,Asie du Sud
3,AFR,,Agrégats
4,AFW,,Agrégats
5,AGO,Angola,Afrique subsaharienne
6,ALB,Albanie,Europe et Asie centrale
7,AND,Andorre,Europe et Asie centrale
8,ARB,Le monde arabe,Agrégats
9,ARE,Émirats arabes unis,Afrique du Nord et Moyen-Orient
10,ARG,Argentine,Amérique latine et Caraïbes
11,ARM,Arménie,Europe et Asie centrale
12,ASM,Samoa américaines,Asie de l’Est et Pacifique
13,ATG,Antigua-et-Barbuda,Amérique latine et Caraïbes
14,AUS,Australie,Asie de l’Est et Pacifique
15,AUT,Autriche,Europe et Asie centrale
16,AZE,Azerbaïdjan,Europe et Asie centrale
17,BDI,Burundi,Afrique subsaharienne
18,BEA,,Agrégats
19,BEC,,Agrégats
20,BEL,Belgique,Europe et Asie centrale
21,BEN,Bénin,Afrique subsaharienne
22,BFA,Burkina Faso,Afrique subsaharienne
23,BGD,Bangladesh,Asie du Sud
24,BGR,Bulgarie,Europe et Asie centrale
25,BHI,,Agrégats
26,BHR,Bahreïn,Afrique du Nord et Moyen-Orient
27,BHS,Bahamas,Amérique latine et Caraïbes
28,BIH,Bosnie-Herzégovine,Europe et Asie centrale
29,BLA,,Agrégats
30,BLR,Bélarus,Europe et Asie centrale
31,BLZ,Belize,Amérique latine et Caraïbes
32,BMN,,Agrégats
33,BMU,Bermudes,Amérique du Nord
34,BOL,Bolivie,Amérique latine et Caraïbes
35,BRA,Brésil,Amérique latine et Caraïbes
36,BRB,Barbade,Amérique latine et Caraïbes
37,BRN,Brunéi Darussalam,Asie de l’Est et Pacifique
38,BSS,,Agrégats
39,BTN,Bhoutan,Asie du Sud
40,BWA,Botswana,Afrique subsaharienne
41,CAA,,Agrégats
42,CAF,République centrafricaine,Afrique subsaharienne
43,CAN,Canada,Amérique du Nord
44,CEA,,Agrégats
45,CEB,"Europe centrale et les pays baltes
",Agrégats
46,CEU,,Agrégats
47,CHE,Suisse,Europe et Asie centrale
48,CHI,Îles Anglo-Normandes,Europe et Asie centrale
49,CHL,Chili,Amérique latine et Caraïbes
50,CHN,Chine,Asie de l’Est et Pacifique
51,CIV,Côte d'Ivoire,Afrique subsaharienne
52,CLA,,Agrégats
53,CME,,Agrégats
54,CMR,Cameroun,Afrique subsaharienne
55,COD,"Congo, République démocratique du",Afrique subsaharienne
56,COG,"Congo, République du",Afrique subsaharienne
57,COL,Colombie,Amérique latine et Caraïbes
58,COM,Comores,Afrique subsaharienne
59,CPV,Cabo Verde ,Afrique subsaharienne
60,CRI,Costa Rica,Amérique latine et Caraïbes
61,CSA,,Agrégats
62,CSS,Petits états des Caraïbes,Agrégats
63,CUB,Cuba,Amérique latine et Caraïbes
64,CUW,Curacao,Amérique latine et Caraïbes
65,CYM,Îles Caïmans,Amérique latine et Caraïbes
66,CYP,Chypre,Europe et Asie centrale
67,CZE,République tchèque,Europe et Asie centrale
68,DEA,,Agrégats
69,DEC,,Agrégats
70,DEU,Allemagne,Europe et Asie centrale
71,DJI,Djibouti,Afrique du Nord et Moyen-Orient
72,DLA,,Agrégats
73,DMA,Dominique,Amérique latine et Caraïbes
74,DMN,,Agrégats
75,DNK,Danemark,Europe et Asie centrale
76,DNS,,Agrégats
77,DOM,République dominicaine,Amérique latine et Caraïbes
78,DSA,,Agrégats
79,DSF,,Agrégats
80,DSS,,Agrégats
81,DZA,Algérie,Afrique du Nord et Moyen-Orient
82,EAP,Asie de l’Est et Pacifique (hors revenu élevé),Agrégats
83,EAR,de dividende précoce démographique,Agrégats
84,EAS,Asie de l’Est et Pacifique,Agrégats
85,ECA,Europe et Asie centrale (hors revenu élevé),Agrégats
86,ECS,Europe et Asie centrale,Agrégats
87,ECU,Équateur,Amérique latine et Caraïbes
88,EGY,"Égypte, République arabe d’",Afrique du Nord et Moyen-Orient
89,EMU,Zone euro,Agrégats
90,ERI,Érythrée,Afrique subsaharienne
91,ESP,Espagne,Europe et Asie centrale
92,EST,Estonie,Europe et Asie centrale
93,ETH,Éthiopie,Afrique subsaharienne
94,EUU,Union européenne,Agrégats
95,FCS,"Fragile et les situations de conflit touchées
",Agrégats
96,FIN,Finlande,Europe et Asie centrale
97,FJI,Fidji,Asie de l’Est et Pacifique
98,FRA,France,Europe et Asie centrale
99,FRO,Îles Féroé,Europe et Asie centrale
100,FSM,"Micronésie, États fédérés de",Asie de l’Est et Pacifique
101,FXS,,Agrégats
102,GAB,Gabon,Afrique subsaharienne
103,GBR,Royaume-Uni,Europe et Asie centrale
104,GEO,Géorgie,Europe et Asie centrale
105,GHA,Ghana,Afrique subsaharienne
106,GIB,Gibraltar,Europe et Asie centrale
107,GIN,Guinée,Afrique subsaharienne
108,GMB,Gambie,Afrique subsaharienne
109,GNB,Guinée-Bissau,Afrique subsaharienne
110,GNQ,Guinée équatoriale,Afrique subsaharienne
111,GRC,Grèce,Europe et Asie centrale
112,GRD,Grenade,Amérique latine et Caraïbes
113,GRL,Groenland,Europe et Asie centrale
114,GTM,Guatemala,Amérique latine et Caraïbes
115,GUM,Guam,Asie de l’Est et Pacifique
116,GUY,Guyana,Amérique latine et Caraïbes
117,HIC,Revenu élevé,Agrégats
118,HKG,"Chine, RAS de Hong Kong",Asie de l’Est et Pacifique
119,HND,Honduras,Amérique latine et Caraïbes
120,HPC,Pays pauvres très endettés (PPTE),Agrégats
121,HRV,Croatie,Europe et Asie centrale
122,HTI,Haïti,Amérique latine et Caraïbes
123,HUN,Hongrie,Europe et Asie centrale
124,IBB,,Agrégats
125,IBD,BIRD seulement,Agrégats
126,IBT,BIRD et IDA,Agrégats
127,IDA,IDA totale,Agrégats
128,IDB,IDA mélange,Agrégats
129,IDN,Indonésie,Asie de l’Est et Pacifique
130,IDX,IDA seulement,Agrégats
131,IMN,Île de Man,Europe et Asie centrale
132,IND,Inde,Asie du Sud
133,INX,Non classifié,Agrégats
134,IRL,Irlande,Europe et Asie centrale
135,IRN,"Iran, République islamique d’",Afrique du Nord et Moyen-Orient
136,IRQ,Iraq,Afrique du Nord et Moyen-Orient
137,ISL,Islande,Europe et Asie centrale
138,ISR,Israël,Afrique du Nord et Moyen-Orient
139,ITA,Italie,Europe et Asie centrale
140,JAM,Jamaïque,Amérique latine et Caraïbes
