,code_pays,pays,region,population_totale,migration_nette,croissance_annuelle_PIB,pourcentage_total_population_chomage,inflation_prix_annuel_consommation,acces_electricite(%population),indi_capital_humain(indice entre 0 et 1),niveau de vie
0,ABW,Aruba,Amerique latine et Caraibes,106445.0,501.0,17.2,6.0,4.3,100.0,0.6,eleve
1,AFG,Afghanistan,Asie du Sud,41128771.0,-183672.0,-20.7,11.7,2.3,97.7,0.4,faible
2,AGO,Angola,Afrique subsaharienne,35588987.0,29089.0,3.0,10.2,25.8,48.2,0.4,moyen
3,ALB,Albanie,Europe et Asie centrale,2775634.0,-10612.0,4.8,11.8,6.7,100.0,0.6,>moyenne
4,AND,Andorre,Europe et Asie centrale,79824.0,1377.0,8.8,6.0,7.2,100.0,0.6,eleve
6,ARE,Emirats arabes unis,Afrique du Nord et Moyen-Orient,9441129.0,-2762.0,7.4,2.8,4.8,100.0,0.7,eleve
7,ARG,Argentine,Amerique latine et Caraibes,46234830.0,2344.0,5.2,6.5,7.2,100.0,0.6,>moyenne
8,ARM,Armenie,Europe et Asie centrale,2780469.0,-12825.0,12.6,12.6,8.6,100.0,0.6,>moyenne
10,ATG,Antigua-et-Barbuda,Amerique latine et Caraibes,93763.0,0.0,8.5,6.0,7.5,100.0,0.6,eleve
11,AUS,Australie,Asie de l'Est et Pacifique,25978935.0,117929.0,3.6,3.7,6.6,100.0,0.8,eleve
12,AUT,Autriche,Europe et Asie centrale,9042528.0,20314.0,5.0,4.7,8.5,100.0,0.7,eleve
13,AZE,Azerbaidjan,Europe et Asie centrale,10175016.0,1084.0,4.6,5.5,13.9,100.0,0.6,>moyenne
14,BDI,Burundi,Afrique subsaharienne,12889576.0,-14415.0,1.8,1.0,18.8,10.2,0.4,faible
16,BEN,Benin,Afrique subsaharienne,13352864.0,1732.0,6.3,1.7,1.4,42.0,0.4,moyen
17,BFA,Burkina Faso,Afrique subsaharienne,22673762.0,-13097.0,1.5,5.2,14.3,19.0,0.4,faible
19,BGR,Bulgarie,Europe et Asie centrale,6465097.0,-8716.0,3.4,4.4,15.3,99.8,0.6,>moyenne
20,BHR,Bahrein,Afrique du Nord et Moyen-Orient,1472233.0,-9150.0,4.9,1.4,3.6,100.0,0.7,eleve
21,BHS,Bahamas,Amerique latine et Caraibes,409984.0,485.0,14.4,10.1,5.6,100.0,0.6,eleve
22,BIH,Bosnie-Herzegovine,Europe et Asie centrale,3233526.0,-25865.0,3.9,14.1,14.0,100.0,0.6,>moyenne
23,BLR,Belarus,Europe et Asie centrale,9208701.0,12961.0,-4.7,4.2,15.2,100.0,0.7,>moyenne
24,BLZ,Belize,Amerique latine et Caraibes,405272.0,577.0,12.1,9.7,3.2,97.7,0.6,>moyenne
25,BMU,Bermudes,Amerique du Nord,63532.0,291.0,2.9,6.0,7.2,100.0,0.6,eleve
26,BOL,Bolivie,Amerique latine et Caraibes,12224110.0,-4666.0,3.1,4.4,1.7,98.6,0.6,moyen
27,BRA,Bresil,Amerique latine et Caraibes,215313498.0,20376.0,2.9,9.5,9.3,99.5,0.6,>moyenne
28,BRB,Barbade,Amerique latine et Caraibes,281635.0,-28.0,10.0,8.2,4.1,100.0,0.6,eleve
29,BRN,Brunei Darussalam,Asie de l'Est et Pacifique,449002.0,-192.0,-1.6,7.2,3.7,100.0,0.6,eleve
30,BTN,Bhoutan,Asie du Sud,782455.0,291.0,4.1,3.6,5.6,100.0,0.5,moyen
33,CAN,Canada,Amerique du Nord,38929902.0,195181.0,3.4,5.2,6.8,100.0,0.8,eleve
35,CHE,Suisse,Europe et Asie centrale,8769741.0,23872.0,2.1,4.2,2.8,100.0,0.8,eleve
36,CHI,Iles Anglo-Normandes,Europe et Asie centrale,174079.0,1242.0,8.6,6.9,7.2,100.0,0.6,eleve
37,CHL,Chili,Amerique latine et Caraibes,19603733.0,113709.0,2.4,7.8,11.6,100.0,0.7,eleve
38,CHN,Chine,Asie de l'Est et Pacifique,1.41,-200194.0,3.0,4.9,2.0,100.0,0.7,>moyenne
39,CIV,Cote d'Ivoire,Afrique subsaharienne,28160542.0,-21000.0,6.7,2.6,5.3,71.1,0.4,moyen
40,CMR,Cameroun,Afrique subsaharienne,27914536.0,-9889.0,3.5,4.0,6.2,65.4,0.4,moyen
41,COD,"Congo, Republique democratique du",Afrique subsaharienne,99010212.0,-64643.0,8.9,5.0,2.9,20.8,0.4,faible
42,COG,"Congo, Republique du",Afrique subsaharienne,5970424.0,-4466.0,1.5,21.8,3.0,49.7,0.4,moyen
43,COL,Colombie,Amerique latine et Caraibes,51874024.0,211978.0,7.5,10.7,10.2,100.0,0.6,>moyenne
44,COM,Comores,Afrique subsaharienne,836774.0,-1772.0,2.4,8.8,-4.3,87.9,0.4,moyen
46,CRI,Costa Rica,Amerique latine et Caraibes,5180829.0,2084.0,4.3,11.5,8.3,100.0,0.6,>moyenne
48,CUB,Cuba,Amerique latine et Caraibes,11212191.0,-7068.0,1.3,1.4,7.2,100.0,0.6,>moyenne
49,CUW,Curacao,Amerique latine et Caraibes,149996.0,502.0,4.2,6.0,2.6,100.0,0.6,eleve
50,CYM,Iles Caimans,Amerique latine et Caraibes,68706.0,276.0,4.0,6.0,-0.6,100.0,0.6,eleve
51,CYP,Chypre,Europe et Asie centrale,1251488.0,1995.0,5.6,7.0,8.4,100.0,0.8,eleve
53,DEU,Allemagne,Europe et Asie centrale,84079811.0,312735.0,1.8,3.0,6.9,100.0,0.8,eleve
54,DJI,Djibouti,Afrique du Nord et Moyen-Orient,1120849.0,742.0,3.0,27.9,5.2,65.4,0.6,moyen
58,DZA,Algerie,Afrique du Nord et Moyen-Orient,44903225.0,-18797.0,3.1,11.6,9.3,99.8,0.5,moyen
64,ECU,Equateur,Amerique latine et Caraibes,18001000.0,35894.0,2.9,4.0,3.5,100.0,0.6,>moyenne
65,EGY,"Egypte, Republique arabe d'",Afrique du Nord et Moyen-Orient,110990103.0,-32370.0,6.6,7.0,13.9,100.0,0.5,moyen
