,id,name,region,country,"ratio de la population pauvre disposant de moins de $ 1,90 par jour (2011 ppa) (% de la population)","espérance de vie à la naissance, total (années)","population, total",croissance de la population (% annuel),migration nette,indice du capital humain (échelle comprise entre 0 et 1),pib ($ us courants)current us$constant us$current lcuconstant lcu,pib par habitant ($ us courants)current us$constant us$current lcuconstant lcu,croissance du pib (% annuel),"chômage, total (% de la population) (estimation modélisée oit)","inflation, prix à la consommation (% annuel)","envois de fonds des travailleurs et rémunérations des salariés, reçus (% du pib)",émissions de co2 (tonnes métriques par habitant),surface forestière (% du territoire),accès à l’électricité (% de la population),"retraits annuels d’eau douce, total (% des ressources internes)","production d’électricité à partir de sources d’énergie renouvelables, hors énergie hydroélectrique (% du total)",people using safely managed sanitation services (% of population),homicides intentionnels (pour 100 000 personnes),"dette du gouvernement central, total (% du pib)",statistical performance indicators (spi): overall score (scale 0-100),utilisateurs d internet (% de la population),proportion de sièges occupés par des femmes dans les parlements nationaux (%),"investissements étrangers directs, entrées nettes (% du pib)"
0,ABW,Aruba,Amérique latine et Caraïbes,Aruba,0.5,75.0,106445.0,-0.1,501.0,0.6,3.13,29342.1,17.2,5.55,4.3,1.1,5.8,2.3,100.0,38.5,0.5,74.0,2.0,70.2,64.6,97.0,27.0,4.3
1,AFG,Afghanistan,Asie du Sud,Afghanistan,0.5,62.0,41128771.0,2.5,-183672.0,0.4,14.58,363.7,-20.7,11.7,2.3,2.1,0.2,1.9,97.7,43.0,0.5,74.0,4.0,70.2,49.8,18.0,27.0,0.1
4,AND,Andorre,Europe et Asie centrale,Andorre,0.5,75.5,79824.0,1.0,1377.0,0.6,3.35,41992.8,8.8,5.55,6.9,1.6,5.8,34.0,100.0,38.5,0.5,100.0,3.0,70.2,64.6,94.0,46.0,2.3
7,ARG,Argentine,Amérique latine et Caraïbes,Argentine,1.0,75.0,46234830.0,0.9,2344.0,0.6,632.77,13686.0,5.2,6.5,6.9,0.2,3.4,10.4,100.0,13.0,1.9,51.0,5.0,70.2,64.6,87.0,45.0,2.4
10,ATG,Antigua-et-Barbuda,Amérique latine et Caraïbes,Antigua-et-Barbuda,0.5,78.0,93763.0,0.6,0.0,0.6,1.76,18745.2,8.5,5.55,7.5,2.0,5.1,18.5,100.0,8.0,0.5,74.0,17.0,70.2,64.6,96.0,11.0,15.7
11,AUS,Australie,Asie de l’Est et Pacifique,Australie,0.5,83.0,25978935.0,1.1,117929.0,0.8,1.68,64491.4,3.6,3.7,6.6,0.1,14.8,17.4,100.0,2.0,8.3,74.0,1.0,70.2,88.2,96.0,38.0,4.0
12,AUT,Autriche,Europe et Asie centrale,Autriche,0.7,81.0,9042528.0,1.0,20314.0,0.7,471.4,52131.4,5.0,4.7,8.5,0.6,6.6,47.3,100.0,6.0,16.5,100.0,1.0,94.3,89.1,93.0,41.0,2.6
13,AZE,Azerbaïdjan,Europe et Asie centrale,Azerbaïdjan,0.0,69.0,10175016.0,0.4,1084.0,0.6,78.72,7736.7,4.6,5.5,13.9,5.0,3.4,13.7,100.0,155.0,0.4,21.0,2.0,16.8,68.1,86.0,18.0,-5.7
18,BGD,Bangladesh,Asie du Sud,Bangladesh,13.5,72.0,171186372.0,1.1,-174500.0,0.5,460.2,2688.3,7.1,4.7,7.7,4.7,0.5,14.5,99.0,34.0,0.3,39.0,2.0,31.2,58.1,39.0,21.0,0.3
20,BHR,Bahreïn,Afrique du Nord et Moyen-Orient,Bahreïn,0.5,79.0,1472233.0,0.6,-9150.0,0.7,44.39,30152.0,4.9,1.4,3.6,0.9,22.0,0.9,100.0,3878.0,0.0,91.0,0.0,29.4,54.5,100.0,20.0,4.5
21,BHS,Bahamas,Amérique latine et Caraïbes,Bahamas,0.5,72.0,409984.0,0.5,485.0,0.6,12.9,31458.3,14.4,10.1,5.6,0.9,6.0,50.9,100.0,38.5,0.5,74.0,29.0,86.2,50.1,94.0,18.0,3.3
23,BLR,Bélarus,Europe et Asie centrale,Bélarus,0.0,72.0,9208701.0,-1.0,12961.0,0.7,72.79,7904.9,-4.7,4.2,15.2,2.0,5.8,43.2,100.0,4.0,0.5,74.0,2.0,33.2,77.1,87.0,40.0,2.2
28,BRB,Barbade,Amérique latine et Caraïbes,Barbade,0.5,78.0,281635.0,0.2,-28.0,0.6,5.64,20018.5,10.0,8.2,4.1,0.0,3.9,14.7,100.0,88.0,0.5,74.0,11.0,146.9,64.6,86.0,27.0,4.9
53,DEU,Allemagne,Europe et Asie centrale,Allemagne,0.0,81.0,84079811.0,1.1,312735.0,0.8,4.07,48432.5,1.8,3.0,6.9,0.5,7.3,32.7,100.0,23.0,26.3,97.0,1.0,70.2,87.5,91.0,35.0,1.2
58,DZA,Algérie,Afrique du Nord et Moyen-Orient,Algérie,0.5,76.0,44903225.0,1.6,-18797.0,0.5,191.91,4273.9,3.1,11.6,9.3,0.9,3.7,0.8,99.8,87.0,0.1,18.0,2.0,70.2,55.1,71.0,8.0,0.0
203,SAU,Arabie saoudite,Afrique du Nord et Moyen-Orient,Arabie saoudite,0.5,77.0,36408820.0,1.3,-153883.0,0.6,1.11,30436.3,8.7,5.6,2.5,0.0,14.3,0.5,100.0,974.0,0.0,59.0,1.0,70.2,63.4,100.0,20.0,0.7
262,ZAF,Afrique du Sud,Afrique subsaharienne,Afrique du Sud,20.5,62.0,59893885.0,0.8,10934.0,0.4,405.87,6776.5,2.0,29.8,7.0,0.2,6.7,14.1,89.3,45.0,1.9,74.0,42.0,75.6,73.5,72.0,47.0,2.2
